,alpha,mass,folder_path,model_name
82,1.23,9.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_9.0,stir2_14may19_s9.0_alpha1.23
83,1.23,9.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_9.25,stir2_14may19_s9.25_alpha1.23
84,1.23,9.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_9.5,stir2_14may19_s9.5_alpha1.23
85,1.23,9.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_9.75,stir2_14may19_s9.75_alpha1.23
86,1.23,10.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_10.0,stir2_14may19_s10.0_alpha1.23
87,1.23,10.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_10.25,stir2_14may19_s10.25_alpha1.23
88,1.23,10.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_10.5,stir2_14may19_s10.5_alpha1.23
89,1.23,11.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_11.0,stir2_14may19_s11.0_alpha1.23
90,1.23,11.25,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_11.25,stir2_14may19_s11.25_alpha1.23
91,1.23,11.75,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_11.75,stir2_14may19_s11.75_alpha1.23
92,1.23,12.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_12.0,stir2_14may19_s12.0_alpha1.23
93,1.23,15.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_15.7,stir2_14may19_s15.7_alpha1.23
94,1.23,16.0,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.0,stir2_14may19_s16.0_alpha1.23
95,1.23,16.1,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.1,stir2_14may19_s16.1_alpha1.23
96,1.23,16.2,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.2,stir2_14may19_s16.2_alpha1.23
97,1.23,16.3,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.3,stir2_14may19_s16.3_alpha1.23
98,1.23,16.4,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.4,stir2_14may19_s16.4_alpha1.23
99,1.23,16.5,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.5,stir2_14may19_s16.5_alpha1.23
100,1.23,16.6,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.6,stir2_14may19_s16.6_alpha1.23
101,1.23,16.7,/mnt/research/SNAPhU/STIR/run_sukhbold/run_14may19_a1.23/run_16.7,stir2_14may19_s16.7_alpha1.23
