set zams_mass xi1.75 xi2.5 ni56 ni56_error ni57 ni57_error ni58 ni58_error ti44 ti44_error
"Curtis+ 2019 (WHW02)" 21.8 0.6438586665848136 0.1896025316296323 0.118 0.0 0.0026 0 0.00211 0 6.01e-05 0.0
"Curtis+ 2019 (WHW02)" 22.0 0.38290842041966194 0.1650123338604555 0.0691 0.0 0.00264 0 0.00644 0 3.09e-05 0.0
"Curtis+ 2019 (WHW02)" 22.4 0.5313598822088329 0.1997286700973496 0.0908 0.0 0.00142 0 0.000425 0 3.72e-05 0.0
"Curtis+ 2019 (WHW02)" 22.6 0.7361660953035026 0.2559951569956702 0.113 0.0 0.00194 0 0.000649 0 4.61e-05 0.0
"Curtis+ 2019 (WHW02)" 25.8 0.7453835686265856 0.24748365478905796 0.0807 0.0 0.00146 0 0.000368 0 4.16e-05 0.0
"Curtis+ 2019 (WHW02)" 26.0 0.8189188305606051 0.3348609524624359 0.128 0.0 0.00244 0 0.000585 0 9.34e-05 0.0
"Curtis+ 2019 (WHW02)" 26.2 0.5974755609436389 0.23130141386809142 0.0781 0.0 0.0013 0 0.000321 0 4.05e-05 0.0
"Curtis+ 2019 (WHW02)" 26.4 0.5988217606838169 0.23733968321129215 0.083 0.0 0.00134 0 0.000322 0 4.15e-05 0.0
"Curtis+ 2019 (WHW02)" 26.6 0.5608933363778597 0.22727028994199774 0.0778 0.0 0.00126 0 0.000323 0 3.96e-05 0.0
"Curtis+ 2019 (WHW02)" 26.8 0.5934731497398511 0.23309064632240328 0.0798 0.0 0.0013 0 0.000718 0 4.06e-05 0.0
"Curtis+ 2019 (WHW02)" 27.0 0.5230222043817822 0.23201909103279136 0.0843 0.0 0.00139 0 0.000303 0 4.13e-05 0.0
"Curtis+ 2019 (WHW02)" 27.2 0.5270515172169745 0.2335644838060562 0.086 0.0 0.0014 0 0.000435 0 4.14e-05 0.0
"Curtis+ 2019 (WHW02)" 27.4 0.5995154905743123 0.2440125719421884 0.0882 0.0 0.00149 0 0.000305 0 4.34e-05 0.0
"Curtis+ 2019 (WHW02)" 27.6 0.5977983565034277 0.24484755889928783 0.0893 0.0 0.00148 0 0.000309 0 4.3e-05 0.0
"Curtis+ 2019 (WHW02)" 27.8 0.5730316353170469 0.24431437242951354 0.0901 0.0 0.0015 0 0.000302 0 4.36e-05 0.0
"Curtis+ 2019 (WHW02)" 28.0 0.5156809097792664 0.23525899256685787 0.0871 0.0 0.00138 0 0.000291 0 4.09e-05 0.0
"Curtis+ 2019 (WHW02)" 28.2 0.49280618244535 0.23088388539952753 0.114 0.0 0.00449 0 0.0119 0 4.71e-05 0.0
"Curtis+ 2019 (WHW02)" 29.0 0.4336520145969171 0.198665890064063 0.0981 0.0 0.00289 0 0.00525 0 4.05e-05 0.0
"Curtis+ 2019 (WHW02)" 30.0 0.5705902005506039 0.22179997471957424 0.133 0.0 0.00545 0 0.0145 0 5.17e-05 0.0
"Curtis+ 2019 (WHW02)" 31.0 0.41147678411842203 0.17303491910168559 0.0824 0.0 0.00124 0 0.000354 0 3.57e-05 0.0
"Curtis+ 2019 (WHW02)" 32.0 0.5436311980314873 0.19501695370636912 0.1 0.0 0.00158 0 0.000444 0 3.83e-05 0.0
"Curtis+ 2019 (WHW02)" 33.0 0.6506509167558842 0.2227104433262498 0.107 0.0 0.00172 0 0.000461 0 4.22e-05 0.0
"Curtis+ 2019 (WHW02)" 34.0 0.7290693025614597 0.24599720599679809 0.115 0.0 0.00195 0 0.000551 0 4.63e-05 0.0
